Applicant ID,Position,Application Date,Stage Name,Applicant Status,OwnerName,Country,Applicant Name,Salary Expectations
5117,Technical Writer,9/10/2019,Application,open,Howard Wolowitz,India,Sebastian  Balytskiy,"$1,300"
5118,Technical Writer,9/10/2019,Application,open,Howard Wolowitz,France,Oleksiy   Pasternak,$500
5119,Office Manager,9/10/2019,Application,open,Howard Wolowitz,Sweeden,Iryna   Dutta,$600
5073,Financial Controller,9/9/2019,Application,open,Howard Wolowitz,United States,kajal  Strembitskiy,"$3,300"
5074,Front-End Developer,9/9/2019,Application,open,Leslie Winkle,Sweeden,Michael  Pirowski,"$1,000"
5075,Data Analyst,9/9/2019,Application,open,Howard Wolowitz,Spain,Nick   Khetia,"$3,900"
5076,Office Manager,9/9/2019,Application,open,Howard Wolowitz,Ukraine,Yuliia  Novachenko,$600
5107,Technical Writer,9/9/2019,Application,open,Howard Wolowitz,South Korea,Iryna  Jumabekov,$400
5109,Data Analyst,9/9/2019,Application,open,Howard Wolowitz,India,Agata   Ali muhammed,"$2,200"
5110,Technical Writer,9/9/2019,Application,open,Howard Wolowitz,Spain,Vira   Ilczyniak,"$2,000"
5116,Technical Writer,9/9/2019,Application,open,Howard Wolowitz,United States,Alexander   Gehrhardt,$900
5071,Technical Writer,9/8/2019,Profile review,open,Leonard Hofstadter,South Korea,Ana   Martynenko,"$2,300"
5072,Full Stack Engineer,9/8/2019,Application,open,Howard Wolowitz,South Korea,Denis  Shevchenko,"$1,300"
5069,Technical Writer,9/7/2019,Profile review,open,Leonard Hofstadter,Singapore,Zarah Maureen  Birisic,"$1,000"
5070,Front-End Developer,9/7/2019,Profile review,open,Leslie Winkle,Canada,Erkan  Kochubey,"$2,400"
5063,Technical Writer,9/6/2019,Profile review,open,Leslie Winkle,Spain,Vasileios  Anishina,"$1,000"
5064,Technical Writer,9/6/2019,Profile review,open,Leslie Winkle,Spain,Krystal    Ajuobi,"$1,300"
5065,Full Stack Node JS Engineer,9/6/2019,Profile review,open,Sheldon Cooper,South Korea,Joshua  Liashenko,$800
5066,Technical Writer,9/6/2019,Application,lost,Leslie Winkle,United States,Priyanka   Popovskaya,"$2,300"
5067,Data Analyst,9/6/2019,Profile review,open,Leonard Hofstadter,Germany,Claudia  Rapheal,"$2,000"
5057,Full Stack Engineer,9/5/2019,Application,lost,Leslie Winkle,France,Lukasz  Yavorska,$300
5058,Front-End Developer,9/5/2019,Profile review,open,Leslie Winkle,Spain,Ana   AYOOLA,"$1,700"
5059,Front-End Developer,9/5/2019,Application,lost,Leslie Winkle,Sweeden,Sergii  Zakhozhyi,"$2,900"
5060,Technical Writer,9/5/2019,Profile review,open,Leonard Hofstadter,Germany,Elias  Ponedilok,$700
5061,Front-End Developer,9/5/2019,Application,lost,Leslie Winkle,Poland,Petya  Vogelsang,"$3,300"
5062,Technical Writer,9/5/2019,Profile review,open,Leonard Hofstadter,Singapore,Magdalena  Palli,"$1,400"
5051,Data Analyst,9/4/2019,Profile review,open,Leonard Hofstadter,France,Nikolay  Zientarski,$400
5052,Front-End Developer,9/4/2019,Application,lost,Leslie Winkle,France,Karyna  Barrientos,"$1,600"
5053,Front-End Developer,9/4/2019,Application,lost,Leslie Winkle,Singapore,Marek  Duklewski,"$2,900"
5054,Full Stack Engineer,9/4/2019,Application,lost,Leslie Winkle,Spain,Joanna   Rowe,"$2,000"
5055,Full Stack Engineer,9/4/2019,Application,lost,Leslie Winkle,Singapore,Paula  Krystian,"$1,800"
5056,Front-End Developer,9/4/2019,Profile review,open,Leslie Winkle,Germany,Iryna  Doroschenko,"$1,600"
5044,Full Stack Node JS Engineer,9/3/2019,Test task,open,Sheldon Cooper,Germany,Dmytro  Krzysztofek,"$1,600"
5045,Technical Writer,9/3/2019,Profile review,open,Leonard Hofstadter,Netherlands,Gonçalo  Bielanska,$500
